BlockName, Block Offset (Doubles), Block Direction (Read or Write), Channel Relative Offset (Doubles), Channel Name, Channel Unit, Channel Default Value (for Write Channels Only)
DMA Block 0,0,Write,0,A_W_Data Channel 0,v,21
DMA Block 0,0,Write,1,A_W_Data Channel 1,v,22
DMA Block 0,0,Write,2,A_W_Data Channel 2,v,23
DMA Block 0,0,Write,3,A_W_Data Channel 3,v,24
DMA Block 0,0,Write,4,A_W_Data Channel 4,v,25
DMA Block 0,0,Write,5,A_W_Data Channel 5,v,26
DMA Block 0,0,Write,6,A_W_Data Channel 6,v,27
DMA Block 0,0,Write,7,A_W_Data Channel 7,v,28
DMA Block 0,0,Write,8,A_W_Data Channel 8,v,29
DMA Block 0,0,Write,9,A_W_Data Channel 9,v,30
DMA Block 1,9,Read,0,A_R_Data Channel 0,v,
DMA Block 1,9,Read,1,A_R_Data Channel 1,v,
DMA Block 1,9,Read,2,A_R_Data Channel 2,v,
DMA Block 1,9,Read,3,A_R_Data Channel 3,v,
DMA Block 1,9,Read,4,A_R_Data Channel 4,v,
DMA Block 1,9,Read,5,A_R_Data Channel 5,v,
DMA Block 1,9,Read,6,A_R_Data Channel 6,v,
DMA Block 1,9,Read,7,A_R_Data Channel 7,v,
DMA Block 1,9,Read,8,A_R_Data Channel 8,v,
DMA Block 1,9,Read,9,A_R_Data Channel 9,v,
