BlockName, Block Offset (Doubles), Block Direction (Read or Write), Channel Relative Offset (Doubles), Channel Name, Channel Unit, Channel Default Value (for Write Channels Only)
DMA Block 0,0,Write,0,A_W_Data Channel 0,v,1
DMA Block 0,0,Write,1,A_W_Data Channel 1,v,2
DMA Block 0,0,Write,2,A_W_Data Channel 2,v,3
DMA Block 0,0,Write,3,A_W_Data Channel 3,v,4
DMA Block 0,0,Write,4,A_W_Data Channel 4,v,5
DMA Block 0,0,Write,5,A_W_Data Channel 5,v,6
DMA Block 0,0,Write,6,A_W_Data Channel 6,v,7
DMA Block 0,0,Write,7,A_W_Data Channel 7,v,8
DMA Block 0,0,Write,8,A_W_Data Channel 8,v,9
DMA Block 0,0,Write,9,A_W_Data Channel 9,v,10
DMA Block 0,0,Write,10,A_W_Data Channel 10,v,11
DMA Block 0,0,Write,11,A_W_Data Channel 11,v,12
DMA Block 0,0,Write,12,A_W_Data Channel 12,v,13
DMA Block 0,0,Write,13,A_W_Data Channel 13,v,14
DMA Block 0,0,Write,14,A_W_Data Channel 14,v,15
DMA Block 0,0,Write,15,A_W_Data Channel 15,v,16
DMA Block 0,0,Write,16,A_W_Data Channel 16,v,17
DMA Block 0,0,Write,17,A_W_Data Channel 17,v,18
DMA Block 0,0,Write,18,A_W_Data Channel 18,v,19
DMA Block 0,0,Write,19,A_W_Data Channel 19,v,20
DMA Block 0,0,Write,20,A_W_Data Channel 20,v,21
DMA Block 0,0,Write,21,A_W_Data Channel 21,v,22
DMA Block 0,0,Write,22,A_W_Data Channel 22,v,23
DMA Block 0,0,Write,23,A_W_Data Channel 23,v,24
DMA Block 0,0,Write,24,A_W_Data Channel 24,v,25
DMA Block 0,0,Write,25,A_W_Data Channel 25,v,26
DMA Block 0,0,Write,26,A_W_Data Channel 26,v,27
DMA Block 0,0,Write,27,A_W_Data Channel 27,v,28
DMA Block 0,0,Write,28,A_W_Data Channel 28,v,29
DMA Block 0,0,Write,29,A_W_Data Channel 29,v,30
DMA Block 0,0,Write,30,A_W_Data Channel 30,v,31
DMA Block 0,0,Write,31,A_W_Data Channel 31,v,32
DMA Block 0,0,Write,32,A_W_Data Channel 32,v,33
DMA Block 0,0,Write,33,A_W_Data Channel 33,v,34
DMA Block 0,0,Write,34,A_W_Data Channel 34,v,35
DMA Block 0,0,Write,35,A_W_Data Channel 35,v,36
DMA Block 0,0,Write,36,A_W_Data Channel 36,v,37
DMA Block 0,0,Write,37,A_W_Data Channel 37,v,38
DMA Block 0,0,Write,38,A_W_Data Channel 38,v,39
DMA Block 0,0,Write,39,A_W_Data Channel 39,v,40
DMA Block 0,0,Write,40,A_W_Data Channel 40,v,41
DMA Block 0,0,Write,41,A_W_Data Channel 41,v,42
DMA Block 0,0,Write,42,A_W_Data Channel 42,v,43
DMA Block 0,0,Write,43,A_W_Data Channel 43,v,44
DMA Block 0,0,Write,44,A_W_Data Channel 44,v,45
DMA Block 0,0,Write,45,A_W_Data Channel 45,v,46
DMA Block 0,0,Write,46,A_W_Data Channel 46,v,47
DMA Block 0,0,Write,47,A_W_Data Channel 47,v,48
DMA Block 0,0,Write,48,A_W_Data Channel 48,v,49
DMA Block 0,0,Write,49,A_W_Data Channel 49,v,50
DMA Block 0,0,Write,50,A_W_Data Channel 50,v,51
DMA Block 0,0,Write,51,A_W_Data Channel 51,v,52
DMA Block 0,0,Write,52,A_W_Data Channel 52,v,53
DMA Block 0,0,Write,53,A_W_Data Channel 53,v,54
DMA Block 0,0,Write,54,A_W_Data Channel 54,v,55
DMA Block 0,0,Write,55,A_W_Data Channel 55,v,56
DMA Block 0,0,Write,56,A_W_Data Channel 56,v,57
DMA Block 0,0,Write,57,A_W_Data Channel 57,v,58
DMA Block 0,0,Write,58,A_W_Data Channel 58,v,59
DMA Block 0,0,Write,59,A_W_Data Channel 59,v,60
DMA Block 0,0,Write,60,A_W_Data Channel 60,v,61
DMA Block 0,0,Write,61,A_W_Data Channel 61,v,62
DMA Block 0,0,Write,62,A_W_Data Channel 62,v,63
DMA Block 0,0,Write,63,A_W_Data Channel 63,v,64
DMA Block 0,0,Write,64,A_W_Data Channel 64,v,65
DMA Block 0,0,Write,65,A_W_Data Channel 65,v,66
DMA Block 0,0,Write,66,A_W_Data Channel 66,v,67
DMA Block 0,0,Write,67,A_W_Data Channel 67,v,68
DMA Block 0,0,Write,68,A_W_Data Channel 68,v,69
DMA Block 0,0,Write,69,A_W_Data Channel 69,v,70
DMA Block 0,0,Write,70,A_W_Data Channel 70,v,71
DMA Block 0,0,Write,71,A_W_Data Channel 71,v,72
DMA Block 0,0,Write,72,A_W_Data Channel 72,v,73
DMA Block 0,0,Write,73,A_W_Data Channel 73,v,74
DMA Block 0,0,Write,74,A_W_Data Channel 74,v,75
DMA Block 0,0,Write,75,A_W_Data Channel 75,v,76
DMA Block 0,0,Write,76,A_W_Data Channel 76,v,77
DMA Block 0,0,Write,77,A_W_Data Channel 77,v,78
DMA Block 0,0,Write,78,A_W_Data Channel 78,v,79
DMA Block 0,0,Write,79,A_W_Data Channel 79,v,80
DMA Block 0,0,Write,80,A_W_Data Channel 80,v,81
DMA Block 0,0,Write,81,A_W_Data Channel 81,v,82
DMA Block 0,0,Write,82,A_W_Data Channel 82,v,83
DMA Block 0,0,Write,83,A_W_Data Channel 83,v,84
DMA Block 0,0,Write,84,A_W_Data Channel 84,v,85
DMA Block 0,0,Write,85,A_W_Data Channel 85,v,86
DMA Block 0,0,Write,86,A_W_Data Channel 86,v,87
DMA Block 0,0,Write,87,A_W_Data Channel 87,v,88
DMA Block 0,0,Write,88,A_W_Data Channel 88,v,89
DMA Block 0,0,Write,89,A_W_Data Channel 89,v,90
DMA Block 0,0,Write,90,A_W_Data Channel 90,v,91
DMA Block 0,0,Write,91,A_W_Data Channel 91,v,92
DMA Block 0,0,Write,92,A_W_Data Channel 92,v,93
DMA Block 0,0,Write,93,A_W_Data Channel 93,v,94
DMA Block 0,0,Write,94,A_W_Data Channel 94,v,95
DMA Block 0,0,Write,95,A_W_Data Channel 95,v,96
DMA Block 0,0,Write,96,A_W_Data Channel 96,v,97
DMA Block 0,0,Write,97,A_W_Data Channel 97,v,98
DMA Block 0,0,Write,98,A_W_Data Channel 98,v,99
DMA Block 0,0,Write,99,A_W_Data Channel 99,v,100
DMA Block 1,100,Write,0,A_W_Data Channel 100,v,101
DMA Block 1,100,Write,1,A_W_Data Channel 101,v,102
DMA Block 1,100,Write,2,A_W_Data Channel 102,v,103
DMA Block 1,100,Write,3,A_W_Data Channel 103,v,104
DMA Block 1,100,Write,4,A_W_Data Channel 104,v,105
DMA Block 1,100,Write,5,A_W_Data Channel 105,v,106
DMA Block 1,100,Write,6,A_W_Data Channel 106,v,107
DMA Block 1,100,Write,7,A_W_Data Channel 107,v,108
DMA Block 1,100,Write,8,A_W_Data Channel 108,v,109
DMA Block 1,100,Write,9,A_W_Data Channel 109,v,110
DMA Block 1,100,Write,10,A_W_Data Channel 110,v,111
DMA Block 1,100,Write,11,A_W_Data Channel 111,v,112
DMA Block 1,100,Write,12,A_W_Data Channel 112,v,113
DMA Block 1,100,Write,13,A_W_Data Channel 113,v,114
DMA Block 1,100,Write,14,A_W_Data Channel 114,v,115
DMA Block 1,100,Write,15,A_W_Data Channel 115,v,116
DMA Block 1,100,Write,16,A_W_Data Channel 116,v,117
DMA Block 1,100,Write,17,A_W_Data Channel 117,v,118
DMA Block 1,100,Write,18,A_W_Data Channel 118,v,119
DMA Block 1,100,Write,19,A_W_Data Channel 119,v,120
DMA Block 1,100,Write,20,A_W_Data Channel 120,v,121
DMA Block 1,100,Write,21,A_W_Data Channel 121,v,122
DMA Block 1,100,Write,22,A_W_Data Channel 122,v,123
DMA Block 1,100,Write,23,A_W_Data Channel 123,v,124
DMA Block 1,100,Write,24,A_W_Data Channel 124,v,125
DMA Block 1,100,Write,25,A_W_Data Channel 125,v,126
DMA Block 1,100,Write,26,A_W_Data Channel 126,v,127
DMA Block 1,100,Write,27,A_W_Data Channel 127,v,128
DMA Block 1,100,Write,28,A_W_Data Channel 128,v,129
DMA Block 1,100,Write,29,A_W_Data Channel 129,v,130
DMA Block 1,100,Write,30,A_W_Data Channel 130,v,131
DMA Block 1,100,Write,31,A_W_Data Channel 131,v,132
DMA Block 1,100,Write,32,A_W_Data Channel 132,v,133
DMA Block 1,100,Write,33,A_W_Data Channel 133,v,134
DMA Block 1,100,Write,34,A_W_Data Channel 134,v,135
DMA Block 1,100,Write,35,A_W_Data Channel 135,v,136
DMA Block 1,100,Write,36,A_W_Data Channel 136,v,137
DMA Block 1,100,Write,37,A_W_Data Channel 137,v,138
DMA Block 1,100,Write,38,A_W_Data Channel 138,v,139
DMA Block 1,100,Write,39,A_W_Data Channel 139,v,140
DMA Block 1,100,Write,40,A_W_Data Channel 140,v,141
DMA Block 1,100,Write,41,A_W_Data Channel 141,v,142
DMA Block 1,100,Write,42,A_W_Data Channel 142,v,143
DMA Block 1,100,Write,43,A_W_Data Channel 143,v,144
DMA Block 1,100,Write,44,A_W_Data Channel 144,v,145
DMA Block 1,100,Write,45,A_W_Data Channel 145,v,146
DMA Block 1,100,Write,46,A_W_Data Channel 146,v,147
DMA Block 1,100,Write,47,A_W_Data Channel 147,v,148
DMA Block 1,100,Write,48,A_W_Data Channel 148,v,149
DMA Block 1,100,Write,49,A_W_Data Channel 149,v,150
DMA Block 1,100,Write,50,A_W_Data Channel 150,v,151
DMA Block 1,100,Write,51,A_W_Data Channel 151,v,152
